Date,Open,High,Low,Close,Volume
01/01/03,1000,1000,1000,1000,10
02/01/03,1008.03,1008.03,1008.03,1008.03,10
03/01/03,1004.49,1004.49,1004.49,1004.49,10
06/01/03,999.85,999.85,999.85,999.85,10
07/01/03,997.81,997.81,997.81,997.81,10
08/01/03,1005.31,1005.31,1005.31,1005.31,10
09/01/03,1013.33,1013.33,1013.33,1013.33,10
10/01/03,998.61,998.61,998.61,998.61,10
13/01/03,993.25,993.25,993.25,993.25,10
14/01/03,997.95,997.95,997.95,997.95,10
15/01/03,1003.67,1003.67,1003.67,1003.67,10
16/01/03,1006.77,1006.77,1006.77,1006.77,10
17/01/03,1005.35,1005.35,1005.35,1005.35,10
20/01/03,996.65,996.65,996.65,996.65,10
21/01/03,998.93,998.93,998.93,998.93,10
22/01/03,1002.35,1002.35,1002.35,1002.35,10
23/01/03,991.66,991.66,991.66,991.66,10
24/01/03,977.08,977.08,977.08,977.08,10
27/01/03,959.04,959.04,959.04,959.04,10
28/01/03,967.5,967.5,967.5,967.5,10
29/01/03,960.29,960.29,960.29,960.29,10
30/01/03,957.81,957.81,957.81,957.81,10
31/01/03,963.55,963.55,963.55,963.55,10
03/02/03,976.04,976.04,976.04,976.04,10
04/02/03,975.5,975.5,975.5,975.5,10
05/02/03,968.92,968.92,968.92,968.92,10
06/02/03,983.24,983.24,983.24,983.24,10
07/02/03,977.81,977.81,977.81,977.81,10
10/02/03,968.65,968.65,968.65,968.65,10
11/02/03,967.91,967.91,967.91,967.91,10
12/02/03,964.5,964.5,964.5,964.5,10
14/02/03,955.96,955.96,955.96,955.96,10
17/02/03,977.23,977.23,977.23,977.23,10
18/02/03,978.53,978.53,978.53,978.53,10
19/02/03,984.12,984.12,984.12,984.12,10
20/02/03,985.35,985.35,985.35,985.35,10
21/02/03,985.39,985.39,985.39,985.39,10
24/02/03,989.11,989.11,989.11,989.11,10
25/02/03,975.53,975.53,975.53,975.53,10
26/02/03,969.63,969.63,969.63,969.63,10
27/02/03,973.72,973.72,973.72,973.72,10
28/02/03,982.26,982.26,982.26,982.26,10
03/03/03,978.59,978.59,978.59,978.59,10
04/03/03,967.64,967.64,967.64,967.64,10
05/03/03,962.17,962.17,962.17,962.17,10
06/03/03,953.68,953.68,953.68,953.68,10
07/03/03,940.15,940.15,940.15,940.15,10
10/03/03,929.62,929.62,929.62,929.62,10
11/03/03,936.82,936.82,936.82,936.82,10
12/03/03,925.57,925.57,925.57,925.57,10
13/03/03,923.54,923.54,923.54,923.54,10
17/03/03,917.41,917.41,917.41,917.41,10
19/03/03,926.72,926.72,926.72,926.72,10
20/03/03,945.8,945.8,945.8,945.8,10
21/03/03,950.95,950.95,950.95,950.95,10
22/03/03,957.54,957.54,957.54,957.54,10
24/03/03,936.1,936.1,936.1,936.1,10
25/03/03,933.76,933.76,933.76,933.76,10
26/03/03,935.77,935.77,935.77,935.77,10
27/03/03,926.25,926.25,926.25,926.25,10
28/03/03,923.84,923.84,923.84,923.84,10
31/03/03,902.42,902.42,902.42,902.42,10
01/04/03,908.29,908.29,908.29,908.29,10
02/04/03,922.88,922.88,922.88,922.88,10
03/04/03,932.4,932.4,932.4,932.4,10
04/04/03,940.9,940.9,940.9,940.9,10
07/04/03,954.59,954.59,954.59,954.59,10
08/04/03,943.4,943.4,943.4,943.4,10
09/04/03,931.35,931.35,931.35,931.35,10
10/04/03,893.81,893.81,893.81,893.81,10
11/04/03,883.91,883.91,883.91,883.91,10
15/04/03,885.08,885.08,885.08,885.08,10
16/04/03,891.51,891.51,891.51,891.51,10
17/04/03,876.31,876.31,876.31,876.31,10
21/04/03,882.74,882.74,882.74,882.74,10
