Date,Open,High,Low,Close,Volume
2021-07-27,14.05,14.05,13.45,14.05,277005
2021-07-28,14.8,14.8,13.95,14.15,526956
2021-07-29,14.6,14.75,14.15,14.25,312237
2021-07-30,14.6,14.95,14.45,14.95,524928
2021-08-02,15.65,15.65,15.6,15.65,63463
2021-08-03,16.45,16.45,16.45,16.45,33877
2021-08-04,17.25,17.25,17.25,17.25,5959
2021-08-05,18.15,18.15,16.45,16.5,748442
2021-08-06,17.0,17.2,16.55,16.75,101474
2021-08-09,17.15,17.25,16.0,16.15,109901
2021-08-10,16.45,16.45,15.35,15.35,61555
2021-08-11,14.55,14.85,14.55,14.55,167371
2021-08-12,14.8,14.95,13.85,14.35,248251
2021-08-13,14.75,15.0,13.6,15.0,148169
2021-08-16,15.8,15.8,15.55,15.8,64416
2021-08-17,16.35,16.35,15.0,15.0,131676
2021-08-18,15.0,15.0,14.25,14.35,39850
2021-08-20,13.8,14.7,13.8,14.35,43703
2021-08-23,14.35,15.0,13.6,13.6,48368
2021-08-24,13.65,14.2,12.95,13.65,88571
2021-08-25,13.8,14.35,13.8,14.15,65266
2021-08-26,14.65,14.85,14.15,14.65,105917
2021-08-27,14.8,14.85,14.2,14.35,22863
2021-08-30,14.75,15.0,14.4,15.0,61869
2021-08-31,15.35,15.7,15.05,15.2,53281
2021-09-01,15.7,15.7,14.6,14.65,34746
2021-09-02,14.85,14.85,14.05,14.1,46166
2021-09-03,14.35,14.5,13.65,13.8,42147
2021-09-06,14.15,14.15,13.35,13.7,43854
2021-09-07,13.85,14.0,13.35,13.45,53495
2021-09-08,13.65,13.65,13.35,13.55,28141
2021-09-09,13.75,13.85,13.35,13.35,43031
2021-09-13,13.35,13.55,13.25,13.3,29999
2021-09-14,13.35,13.95,13.35,13.95,86839
2021-09-15,14.55,14.65,14.25,14.65,61691
2021-09-16,15.35,15.35,15.0,15.35,195433
2021-09-17,15.45,15.65,14.7,15.0,133542
2021-09-20,15.2,15.65,15.0,15.25,122238
2021-09-21,15.55,15.55,14.45,14.55,83267
2021-09-22,15.0,15.0,13.95,14.05,68667
2021-09-23,14.6,14.8,14.15,14.8,67085
2021-09-24,14.95,15.25,14.45,14.75,37453
2021-09-27,15.0,15.0,14.05,14.6,32213
2021-09-28,14.6,15.0,14.45,14.65,24242
2021-09-29,15.0,15.4,14.2,14.55,33341
2021-09-30,14.6,14.95,14.0,14.15,41897
2021-10-01,14.15,14.55,13.95,14.25,11245
2021-10-04,15.0,15.0,14.65,15.0,25818
2021-10-05,15.2,15.55,14.55,14.8,55559
2021-10-06,15.0,15.0,14.2,14.35,37322
2021-10-07,14.85,14.85,14.15,14.35,25092
2021-10-08,15.65,15.65,15.15,15.2,133745
2021-10-11,15.45,16.75,15.45,16.15,211739
2021-10-12,16.35,16.35,15.15,15.6,89586
2021-10-13,15.55,16.35,15.45,16.0,81962
2021-10-14,16.0,16.35,15.7,15.8,32962
2021-10-18,16.2,16.4,15.65,15.65,48903
2021-10-19,15.75,16.05,14.55,14.8,61196
2021-10-20,14.35,15.0,14.2,14.75,30978
2021-10-21,15.0,15.05,14.45,14.85,16311
2021-10-22,13.45,15.0,13.45,14.65,13101
2021-10-25,15.45,15.5,14.45,15.0,38470
2021-10-26,15.2,16.5,15.2,16.5,117147
2021-10-27,16.35,18.15,16.25,18.15,215029
2021-10-28,19.75,19.75,18.45,18.85,191409
2021-10-29,18.75,19.05,17.95,17.95,160472
2021-11-01,17.65,18.85,17.65,18.85,57973
2021-11-02,19.15,19.75,19.1,19.75,112976
2021-11-03,20.45,20.75,20.15,20.75,46075
2021-11-04,21.75,21.75,21.15,21.55,56979
2021-11-08,22.4,22.55,20.6,21.05,132852
2021-11-09,20.55,22.05,20.45,22.05,67159
2021-11-10,23.1,23.2,22.4,23.2,217960
2021-11-11,24.05,24.05,22.1,22.25,155335
2021-11-12,22.35,22.75,21.45,21.85,72046
2021-11-15,22.65,23.0,21.65,23.0,47944
2021-11-16,23.85,24.15,23.45,23.75,143939
2021-11-17,24.1,24.45,22.75,22.95,103792
2021-11-18,22.85,23.65,22.35,23.35,66096
2021-11-22,23.65,23.65,22.45,22.55,53977
2021-11-23,22.5,23.65,22.2,23.65,55120
2021-11-24,24.25,24.85,24.05,24.85,35369
2021-11-25,26.1,26.1,25.55,26.1,58805
2021-11-26,26.2,27.4,26.05,27.35,144014
2021-11-29,27.75,28.35,26.0,26.0,90241
2021-11-30,25.55,27.3,25.0,26.55,63585
2021-12-01,27.2,27.85,26.15,27.6,54625
2021-12-02,28.45,28.95,27.85,28.95,111417
2021-12-03,30.0,30.4,29.6,30.4,53606
2021-12-06,31.45,31.55,28.85,29.05,120540
2021-12-07,29.65,30.55,28.25,30.55,88523
2021-12-08,31.65,32.05,31.1,32.05,70619
2021-12-09,33.55,33.65,31.65,33.65,116418
2021-12-10,35.0,35.35,34.95,35.35,28970
2021-12-13,36.65,37.1,36.1,37.05,235377
2021-12-14,37.65,37.65,35.2,35.2,52806
2021-12-15,33.4,35.0,33.4,33.45,174835
2021-12-16,35.0,35.1,31.75,31.85,129677
2021-12-17,33.0,33.4,32.0,33.4,84662
2021-12-20,33.75,33.75,31.75,31.75,102543
2021-12-21,31.9,33.35,31.65,32.75,47532
2021-12-22,33.75,34.1,31.75,32.1,52197
2021-12-23,32.75,33.75,31.75,33.75,65750
2021-12-24,34.75,35.4,33.65,35.4,100142
2021-12-27,36.55,37.2,35.75,37.2,108674
2021-12-28,38.65,38.75,35.65,36.05,109108
2021-12-29,35.1,37.1,34.25,34.25,70340
2021-12-30,35.4,36.0,34.75,35.75,108381
2021-12-31,35.55,36.0,34.6,35.6,58585
2022-01-03,36.65,36.75,35.2,36.4,60131
2022-01-04,36.85,38.2,35.75,38.2,112169
2022-01-05,39.05,40.1,38.85,40.1,69126
2022-01-06,41.75,42.1,40.25,42.1,94906
2022-01-07,44.2,44.2,43.65,44.2,46948
2022-01-10,46.45,46.45,44.3,46.45,105862
2022-01-11,48.75,48.75,44.1,44.1,231221
2022-01-12,44.25,46.2,41.95,45.15,262026
2022-01-13,46.2,46.2,43.45,45.75,85178
2022-01-14,46.25,48.05,45.2,48.05,69787
2022-01-17,50.45,50.45,50.45,50.45,42853
