Date,Open,High,Low,Close,Volume,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
01/01/02,256.05,267.45,249.8,252.9,927836,,,
02/01/02,251.95,259.6,249.15,252.4,747727,,,
03/01/02,258.7,270.3,255,267.25,811901,,,
04/01/02,273.75,282.8,273.45,280.25,886084,,,
07/01/02,286.75,294.85,284.4,292.1,633705,,,
08/01/02,296.9,302.5,289.7,301.05,856031,,,
09/01/02,304.6,304.6,273.55,277.25,934364,,,
10/01/02,267.2,271.1,261.9,265.25,1255741,,,
11/01/02,253.1,259.4,239.05,245.7,1134378,,,
14/01/02,256.2,259.1,249.15,251.8,735707,,,
15/01/02,249.6,249.8,240.6,241.65,715486,,,
16/01/02,245,249.95,240.3,242.9,949942,,,
17/01/02,232.8,260.55,232.8,258,1123839,,,
18/01/02,262.2,262.2,244.4,247,673331,,,
21/01/02,248.4,249.4,239.45,244.55,617176,,,
22/01/02,245.4,252.45,244.7,249.75,620312,,,
23/01/02,247.2,248.75,240.8,242.6,507738,,,
24/01/02,249.3,249.3,240.6,241.2,433003,,,
25/01/02,243.6,244.4,237.5,239.2,563358,,,
28/01/02,248.4,248.4,234.4,237.05,490896,,,
29/01/02,236.95,241.75,234.55,235.9,600197,,,
30/01/02,234.4,234.4,227.05,229.25,644173,,,
31/01/02,234.4,244.95,233.25,242.35,844319,,,
01/02/02,246.95,248.7,236,239,635479,,,
04/02/02,238.45,238.45,230.4,231.85,526683,,,
05/02/02,229.1,236.55,227.55,234.1,538150,,,
06/02/02,234.75,246.9,234.75,244.9,527060,,,
07/02/02,246.9,247.5,228.1,229.55,1075733,,,
08/02/02,229.4,238.7,228.75,231,608186,,,
11/02/02,237.5,239.35,232.5,234.1,607305,,,
12/02/02,235.7,238,233,234.65,420699,,,
13/02/02,236.9,241.45,235.1,236.8,659524,,,
14/02/02,241.75,245.3,237.95,239.6,340249,,,
15/02/02,240.6,242.1,238.45,239.8,343523,,,
18/02/02,238.6,238.6,231.7,233.05,354562,,,
19/02/02,234.4,236.55,229.9,231.7,407836,,,
20/02/02,226.9,230.6,225.7,228.1,339075,,,
21/02/02,232.45,234,227.8,228.6,398869,,,
22/02/02,226.8,233.4,225.75,231.1,384266,,,
25/02/02,231.2,235.6,228.9,234.1,376253,,,
26/02/02,235.3,241.1,234.7,239.8,488564,,,
27/02/02,241.25,243.75,237.5,239.7,470202,,,
28/02/02,239.4,239.4,218.05,220.8,854019,,,
01/03/02,219.4,228.05,218.45,225.9,456141,,,
04/03/02,231.25,235,226.4,227.8,501314,,,
05/03/02,232.8,242.75,232.8,239.5,896638,,,
06/03/02,240.7,247,236.55,245.1,724188,,,
07/03/02,247.5,260.6,246.9,257.9,1058801,,,
08/03/02,261.25,265.9,253.6,264.4,1050943,,,
11/03/02,264.05,268.45,258.05,264.8,1036655,,,
12/03/02,262.5,265.9,258.45,261.85,868070,,,
13/03/02,258.75,260.3,252.2,253.5,667002,,,
14/03/02,250,256.2,250,252.5,571057,,,
15/03/02,252.5,255.8,247.6,249.7,815438,,,
18/03/02,254.85,254.85,247.6,249.55,456298,,,
19/03/02,249.45,250.5,244.8,246.8,521385,,,
20/03/02,247.2,248.95,242.7,244,524571,,,
21/03/02,243.05,243.05,238.1,239,339270,,,
22/03/02,243.3,244.25,237.8,239.55,591014,,,
26/03/02,239.4,240.95,227.9,229.75,554113,,,
27/03/02,250,250,228.8,230,405935,,,
28/03/02,230.6,239.6,230.45,234.3,744939,,,
01/04/02,236.5,236.5,220.7,222.9,584763,,,
02/04/02,223,226.9,220.9,222.55,589231,,,
03/04/02,220,221.9,218.5,220,437600,,,
04/04/02,219.5,229.7,219.5,228.15,621651,,,
