Date,Open,High,Low,Close,Volume
25/08/03,13933.45,14193.35,13142.6,13522.95,30749892
26/08/03,13527.65,14105.6,13527.65,13997.35,28272824
27/08/03,14156.95,14593.95,14156.95,14527.3,30199773
28/08/03,14623.9,15151.7,14623.9,15049.2,56136692
29/08/03,15071.2,15546.55,14932.6,15056.3,47927044
01/09/03,15057.85,15360.1,15050.75,15283.95,25717280
02/09/03,15311.9,15601.1,15187.25,15544.3,39769777
03/09/03,15779.9,15901.8,15171.8,15275.3,40565711
04/09/03,15340.2,16467.5,15340.2,16358.25,44656809
05/09/03,16436.25,16778.1,16371.15,16712.6,44867799
08/09/03,16755.55,17102.8,16755.55,17022.7,37013436
09/09/03,17074.45,17617.1,17074.45,17313.65,64786564
10/09/03,17315.75,17345.05,16690.55,16998.8,55718502
11/09/03,16842,16910.95,16552.8,16638.5,36926786
12/09/03,16767.8,16968.3,16140.2,16264.6,42485456
15/09/03,16189.05,16236.35,15317.3,15412.8,37644100
16/09/03,15342.55,16323.85,15261.15,16240.75,39124849
17/09/03,16614.35,16847.3,16272.35,16414.05,36045859
18/09/03,16426.75,16432.85,15789.4,15868,38506904
19/09/03,16032.5,16296.55,15679.2,16144.95,34443376
22/09/03,16248.2,16367.8,16043.15,16100,23958048
23/09/03,16039.6,16197.15,15775.5,16138.25,32536805
24/09/03,16206.05,16838.35,16200.15,16791.35,44259286
25/09/03,16689.2,16804.85,16464.15,16664.25,39787470
26/09/03,16635.05,17239.7,16604,17198.45,37599180
29/09/03,17177.3,17380.4,17042.95,17107.1,31993184
30/09/03,17204.7,17392.1,17143.25,17315.55,30161501
01/10/03,17186.65,17570.2,17092.75,17357.4,31140031
03/10/03,17384.25,17629.65,17142.4,17195.9,34431087
06/10/03,16302,17522.9,16302,17393.45,30781679
07/10/03,17406.15,17614.5,17135.15,17200.1,28162710
08/10/03,17223.1,17337.5,16693.6,16957.5,29396167
09/10/03,17042.75,17388.85,17037.2,17236.5,22781293
10/10/03,17521.85,18319.85,17446.8,18231,47779106
13/10/03,18354,18837.45,18354,18646.95,36052130
14/10/03,18778.9,18902,18286.45,18378.25,39543025
15/10/03,18346.5,18551.9,18001.5,18425.85,27996181
16/10/03,18489.3,18674.05,18265.35,18405.8,19385020
17/10/03,18629.95,18969.4,18494.6,18926.8,37368078
20/10/03,18929.1,18952.7,18326.65,18436.95,27979753
21/10/03,18658.25,18658.25,17759.8,17863.9,26534867
22/10/03,17872.8,18027.8,17305.2,17434.2,27327194
23/10/03,17471.4,17554.1,17006.1,17069.85,31624421
24/10/03,17098.95,17854.85,17086.75,17775.85,34778540
25/10/03,17999.9,18116.65,17826.75,17861.7,8428644
27/10/03,17853.5,17853.5,17194.3,17235,23558885
28/10/03,17347.95,17588.1,17212.9,17382.15,26925190
29/10/03,17431.9,17697.35,17412.05,17617.65,20785686
30/10/03,17686.55,17861.3,17589.35,17672.9,25021154
31/10/03,17589.2,18602.65,17584.3,18550.6,34446686
03/11/03,18566.45,19615.1,18566.45,19497.9,35063206
04/11/03,19796.2,20213.45,19727.2,19870.3,46218497
05/11/03,19898.5,19916.85,19471.45,19770,41666604
06/11/03,19769.35,20358.1,19769.35,20153.8,43619161
07/11/03,20147.1,20413.65,19605.95,19742.95,32706638
10/11/03,19760.7,19760.7,19182.85,19639.1,15199921
11/11/03,19638.2,19840.35,19394.4,19639.75,32866836
12/11/03,19653.65,20025.9,19576.35,19814.35,33882274
