Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-10-07,2022-10-11,293.65,281.7,-4.07,4,trailing_stoploss
2022-11-24,2022-11-30,292.3,305.25,4.43,6,profit_target
2022-12-15,2022-12-22,303.95,296.25,-2.53,7,max_hold
2022-12-23,2022-12-26,279.95,291.65,4.18,3,profit_target
2022-12-28,2023-01-04,293.4,294.75,0.46,7,max_hold
2023-01-06,2023-01-09,283.65,293.65,3.53,3,profit_target
2023-01-10,2023-01-17,290.35,296.25,2.03,7,max_hold
2023-01-23,2023-01-27,302.7,290.9,-3.9,4,trailing_stoploss
2023-01-30,2023-02-02,294.8,272.0,-7.73,3,trailing_stoploss
2023-02-08,2023-02-15,287.65,293.05,1.88,7,max_hold
2023-02-17,2023-02-24,291.2,282.95,-2.83,7,max_hold
2023-02-27,2023-03-06,277.75,288.25,3.78,7,profit_target
2023-03-09,2023-03-16,281.3,270.85,-3.71,7,max_hold
2023-03-21,2023-03-27,267.65,260.85,-2.54,6,trailing_stoploss
2023-05-16,2023-05-22,328.35,340.1,3.58,6,profit_target
2023-07-03,2023-07-10,354.25,345.95,-2.34,7,max_hold
2023-08-11,2023-08-17,445.85,470.1,5.44,6,profit_target
2023-08-23,2023-08-25,465.65,484.55,4.06,2,profit_target
2023-08-30,2023-08-31,493.45,509.7,3.29,1,profit_target
2023-09-01,2023-09-08,528.35,518.5,-1.86,7,max_hold
2023-09-20,2023-09-27,485.0,491.5,1.34,7,max_hold
2023-10-04,2023-10-05,491.4,513.35,4.47,1,profit_target
2023-10-11,2023-10-18,540.15,546.65,1.2,7,max_hold
2023-10-27,2023-11-01,542.4,574.2,5.86,5,profit_target
2023-12-14,2023-12-21,700.4,723.15,3.25,7,profit_target
2023-12-28,2024-01-02,721.25,687.4,-4.69,5,trailing_stoploss
2024-01-15,2024-01-20,786.25,804.0,2.26,5,max_hold
2024-01-23,2024-01-29,800.75,832.6,3.98,6,profit_target
2024-02-02,2024-02-09,846.25,833.4,-1.52,7,max_hold
2024-02-12,2024-02-19,824.45,831.2,0.82,7,max_hold
2024-03-12,2024-03-13,760.4,723.3,-4.88,1,trailing_stoploss
2024-03-14,2024-03-18,763.7,727.15,-4.79,4,trailing_stoploss
2024-03-22,2024-03-27,730.9,760.45,4.04,5,profit_target
2024-06-27,2024-07-01,686.9,717.6,4.47,4,profit_target
2024-07-02,2024-07-09,708.85,703.5,-0.75,7,max_hold
2024-07-12,2024-07-22,732.35,703.85,-3.89,10,trailing_stoploss
2024-07-23,2024-07-30,723.65,709.55,-1.95,7,max_hold
2024-07-31,2024-08-01,675.65,643.0,-4.83,1,trailing_stoploss
2024-08-05,2024-08-12,578.8,587.3,1.47,7,max_hold
2024-08-19,2024-08-26,623.65,629.0,0.86,7,max_hold
2024-09-06,2024-09-09,653.6,625.1,-4.36,3,trailing_stoploss
2024-09-16,2024-09-23,634.2,630.4,-0.6,7,max_hold
2024-10-03,2024-10-10,590.0,584.65,-0.91,7,max_hold
2024-10-11,2024-10-18,599.05,594.85,-0.7,7,max_hold
2024-10-22,2024-10-23,576.65,601.0,4.22,1,profit_target
2024-10-24,2024-10-31,569.05,550.1,-3.33,7,trailing_stoploss
2024-11-04,2024-11-06,549.8,582.7,5.98,2,profit_target
2024-11-08,2024-11-18,567.3,546.45,-3.68,10,trailing_stoploss
2024-11-19,2024-11-25,552.15,569.1,3.07,6,profit_target
2024-11-26,2024-12-03,592.4,601.45,1.53,7,max_hold
2024-12-10,2024-12-17,608.1,608.0,-0.02,7,max_hold
2024-12-30,2025-01-06,574.45,545.25,-5.08,7,trailing_stoploss
2025-01-07,2025-01-13,547.5,525.65,-3.99,6,trailing_stoploss
2025-01-14,2025-01-21,532.9,525.45,-1.4,7,max_hold
2025-01-30,2025-02-05,530.15,534.7,0.86,6,max_hold
2025-02-24,2025-02-27,471.5,449.7,-4.62,3,trailing_stoploss
2025-03-05,2025-03-10,433.05,409.75,-5.38,5,trailing_stoploss
2025-03-11,2025-03-19,400.65,395.1,-1.39,8,max_hold
2025-03-25,2025-04-02,402.65,391.95,-2.66,8,max_hold
2025-04-03,2025-04-04,387.85,366.5,-5.5,1,trailing_stoploss
2025-04-07,2025-04-11,347.1,359.75,3.64,4,profit_target
2025-04-23,2025-04-30,399.65,390.2,-2.36,7,max_hold
