Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-10-07,2022-10-14,3602.5,3742.0,3.87,7,profit_target
2022-12-15,2022-12-22,3875.25,3885.6,0.27,7,max_hold
2022-12-23,2022-12-27,3735.45,3874.35,3.72,4,profit_target
2022-12-28,2023-01-04,3914.5,3949.25,0.89,7,max_hold
2023-01-06,2023-01-13,3901.0,3884.45,-0.42,7,max_hold
2023-01-23,2023-01-31,4358.9,4378.9,0.46,8,max_hold
2023-02-08,2023-02-13,4329.45,4032.25,-6.86,5,trailing_stoploss
2023-02-14,2023-02-16,4079.9,4229.3,3.66,2,profit_target
2023-02-17,2023-02-20,4204.1,4335.45,3.12,3,profit_target
2023-02-23,2023-03-02,4420.9,4249.7,-3.87,7,max_hold
2023-03-03,2023-03-10,4258.4,4136.35,-2.87,7,trailing_stoploss
2023-03-14,2023-03-20,3921.65,3774.65,-3.75,6,trailing_stoploss
2023-03-22,2023-03-28,3738.65,3598.05,-3.76,6,trailing_stoploss
2023-05-16,2023-05-22,4204.0,4370.95,3.97,6,profit_target
2023-08-11,2023-08-17,5267.9,5005.2,-4.99,6,trailing_stoploss
2023-08-23,2023-08-24,4913.1,5390.85,9.72,1,profit_target
2023-08-25,2023-08-31,5256.2,5466.45,4.0,6,profit_target
2023-09-01,2023-09-06,5451.9,5625.6,3.19,5,profit_target
2023-09-11,2023-09-18,5515.7,5544.9,0.53,7,max_hold
2023-09-20,2023-09-26,5418.0,5193.2,-4.15,6,trailing_stoploss
2023-09-27,2023-10-05,5204.95,5205.7,0.01,8,max_hold
2023-10-11,2023-10-18,5154.65,5092.1,-1.21,7,max_hold
2023-10-25,2023-11-01,4899.05,5026.6,2.6,7,max_hold
2023-12-14,2023-12-15,6156.7,6439.85,4.6,1,profit_target
2023-12-20,2023-12-22,6039.05,6290.2,4.16,2,profit_target
2023-12-28,2024-01-03,6272.35,5928.2,-5.49,6,trailing_stoploss
2024-01-15,2024-01-20,6614.05,6283.4,-5.0,5,trailing_stoploss
2024-01-23,2024-01-31,6201.6,6250.1,0.78,8,max_hold
2024-02-02,2024-02-09,6425.35,6500.75,1.17,7,max_hold
2024-02-12,2024-02-19,6666.2,6754.9,1.33,7,max_hold
2024-03-12,2024-03-18,6263.65,5697.15,-9.04,6,trailing_stoploss
2024-03-22,2024-04-02,5540.1,5556.25,0.29,11,max_hold
2024-06-27,2024-07-02,5439.0,5653.75,3.95,5,profit_target
2024-07-08,2024-07-11,5855.45,5563.5,-4.99,3,trailing_stoploss
2024-07-12,2024-07-22,5977.65,6076.2,1.65,10,max_hold
2024-07-23,2024-07-30,6179.35,6313.0,2.16,7,max_hold
2024-07-31,2024-08-05,6305.5,5897.05,-6.48,5,trailing_stoploss
2024-08-06,2024-08-13,5896.0,5847.75,-0.82,7,max_hold
2024-08-19,2024-08-26,6059.65,6026.15,-0.55,7,max_hold
2024-09-06,2024-09-11,6624.65,6841.1,3.27,5,profit_target
2024-09-16,2024-09-23,6989.3,6885.3,-1.49,7,max_hold
2024-10-07,2024-10-14,7208.05,7432.1,3.11,7,profit_target
2024-10-17,2024-10-21,7257.25,6825.25,-5.95,4,trailing_stoploss
2024-10-22,2024-10-23,6800.25,7557.8,11.14,1,profit_target
2024-10-24,2024-10-31,7699.05,7624.1,-0.97,7,max_hold
2024-11-04,2024-11-06,7543.25,7829.5,3.79,2,profit_target
2024-11-08,2024-11-18,7953.8,8006.6,0.66,10,max_hold
2024-11-19,2024-11-25,8116.5,8611.6,6.1,6,profit_target
2024-11-26,2024-12-03,8616.55,8718.25,1.18,7,max_hold
2024-12-10,2024-12-13,9008.55,9300.75,3.24,3,profit_target
2024-12-30,2025-01-06,9817.95,9631.75,-1.9,7,max_hold
2025-01-07,2025-01-13,9620.2,8705.55,-9.51,6,trailing_stoploss
2025-01-14,2025-01-21,8592.4,8261.1,-3.86,7,trailing_stoploss
2025-01-30,2025-02-05,8327.35,8502.15,2.1,6,max_hold
2025-02-24,2025-03-04,7628.4,7212.4,-5.45,8,trailing_stoploss
2025-03-05,2025-03-12,7814.2,7400.3,-5.3,7,trailing_stoploss
2025-03-25,2025-04-01,7958.2,7780.8,-2.23,7,trailing_stoploss
2025-04-02,2025-04-03,7761.55,7157.4,-7.78,1,trailing_stoploss
2025-04-04,2025-04-07,6607.9,6340.7,-4.04,3,trailing_stoploss
2025-04-23,2025-04-30,7392.0,7305.0,-1.18,7,max_hold
