Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2022-09-20,2022-09-27,822.5,790.55,-3.88,7,max_hold,6.724,-26.12
2022-09-28,2022-10-06,793.55,798.8,0.66,8,max_hold,3.708,2.453
2022-10-07,2022-10-14,799.15,759.95,-4.91,7,trailing_stoploss,2.453,-12.034
2022-10-17,2022-10-24,762.1,769.25,0.94,7,max_hold,4.264,4.0
2022-10-25,2022-11-02,754.95,730.75,-3.21,8,max_hold,2.439,-7.817
2022-11-03,2022-11-11,731.25,742.7,1.57,8,max_hold,1.896,2.97
2022-11-14,2022-11-16,760.35,808.75,6.37,2,profit_target,1.733,11.034
2022-11-23,2022-11-30,803.1,837.3,4.26,7,profit_target,0.929,3.954
2022-12-01,2022-12-08,862.1,839.05,-2.67,7,max_hold,4.519,-12.082
2022-12-09,2022-12-16,821.75,847.85,3.18,7,profit_target,3.054,9.701
2022-12-19,2022-12-23,847.55,788.9,-6.92,4,trailing_stoploss,0.501,-3.47
2022-12-26,2023-01-02,814.5,816.4,0.23,7,max_hold,3.023,0.705
2023-01-04,2023-01-10,807.35,841.25,4.2,6,profit_target,3.271,13.736
2023-01-11,2023-01-12,847.45,883.3,4.23,1,profit_target,3.558,15.051
2023-01-13,2023-01-20,877.5,873.9,-0.41,7,max_hold,3.494,-1.433
2023-01-24,2023-02-01,868.95,861.15,-0.9,8,max_hold,1.195,-1.073
2023-02-02,2023-02-06,891.05,922.6,3.54,4,profit_target,1.989,7.041
2023-02-07,2023-02-09,886.9,918.25,3.53,2,profit_target,1.594,5.635
2023-02-13,2023-02-17,891.0,923.5,3.65,4,profit_target,3.444,12.561
2023-02-20,2023-02-22,938.95,973.8,3.71,2,profit_target,2.673,9.921
2023-02-23,2023-03-02,978.55,958.1,-2.09,7,max_hold,0.855,-1.788
2023-03-06,2023-03-14,955.15,929.7,-2.66,8,max_hold,2.458,-6.548
2023-03-15,2023-03-22,949.6,944.9,-0.49,7,max_hold,0.897,-0.444
2023-03-23,2023-03-24,944.05,1001.2,6.05,1,profit_target,3.134,18.973
2023-04-27,2023-05-05,1166.35,1200.5,2.93,8,max_hold,0.054,0.159
2023-05-09,2023-05-10,1162.8,1257.35,8.13,1,profit_target,4.764,38.738
2023-05-11,2023-05-17,1235.0,1287.25,4.23,6,profit_target,1.778,7.523
2023-05-18,2023-05-22,1287.45,1386.75,7.71,4,profit_target,4.229,32.618
2023-05-24,2023-05-31,1321.3,1297.9,-1.77,7,max_hold,1.696,-3.004
2023-06-01,2023-06-02,1372.0,1459.0,6.34,1,profit_target,0.571,3.619
2023-06-05,2023-06-12,1393.1,1438.35,3.25,7,profit_target,1.655,5.377
2023-06-14,2023-06-21,1497.8,1465.75,-2.14,7,max_hold,2.04,-4.366
2023-06-28,2023-07-06,1477.25,1486.35,0.62,8,max_hold,0.519,0.32
2023-07-07,2023-07-10,1481.65,1401.0,-5.44,3,trailing_stoploss,1.763,-9.595
2023-07-11,2023-07-18,1448.55,1457.2,0.6,7,max_hold,0.554,0.331
2023-07-19,2023-07-26,1486.1,1462.35,-1.6,7,max_hold,1.508,-2.41
2023-08-01,2023-08-02,1461.75,1518.1,3.85,1,profit_target,2.823,10.884
2023-08-07,2023-08-09,1641.35,1559.7,-4.97,2,trailing_stoploss,5.897,-29.334
2023-08-10,2023-08-18,1542.25,1541.9,-0.02,8,max_hold,0.661,-0.015
2023-08-21,2023-08-25,1541.9,1589.3,3.07,4,profit_target,2.203,6.773
2023-08-31,2023-09-01,1637.35,1709.75,4.42,1,profit_target,5.141,22.735
2023-09-04,2023-09-05,1772.35,1898.55,7.12,1,profit_target,3.583,25.509
2023-09-07,2023-09-12,1823.25,1764.2,-3.24,5,trailing_stoploss,2.188,-7.085
2023-09-13,2023-09-18,1745.2,1674.45,-4.05,5,trailing_stoploss,3.623,-14.687
2023-09-20,2023-09-26,1614.35,1669.8,3.43,6,profit_target,8.791,30.196
2023-09-27,2023-10-05,1677.05,1679.75,0.16,8,max_hold,2.237,0.36
2023-10-06,2023-10-12,1682.2,1774.5,5.49,6,profit_target,4.184,22.959
2023-10-13,2023-10-18,1729.05,1680.45,-2.81,5,trailing_stoploss,1.449,-4.072
