Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-10-07,2022-10-11,1460.65,1361.5,-6.79,4,trailing_stoploss
2022-11-24,2022-12-01,1431.9,1447.45,1.09,7,max_hold
2022-12-15,2022-12-22,1378.7,1385.3,0.48,7,max_hold
2022-12-23,2022-12-28,1368.1,1297.55,-5.16,5,trailing_stoploss
2022-12-29,2023-01-05,1277.5,1275.0,-0.2,7,max_hold
2023-01-06,2023-01-10,1268.55,1338.2,5.49,4,profit_target
2023-01-11,2023-01-18,1399.0,1423.15,1.73,7,max_hold
2023-01-23,2023-01-25,1386.45,1431.9,3.28,2,profit_target
2023-01-30,2023-02-01,1422.6,1465.5,3.02,2,profit_target
2023-02-08,2023-02-15,1488.4,1405.95,-5.54,7,trailing_stoploss
2023-02-17,2023-02-24,1457.0,1463.0,0.41,7,max_hold
2023-02-27,2023-03-06,1424.55,1434.65,0.71,7,max_hold
2023-03-09,2023-03-10,1397.65,1484.85,6.24,1,profit_target
2023-03-14,2023-03-21,1409.3,1396.55,-0.9,7,max_hold
2023-03-22,2023-03-24,1386.05,1321.35,-4.67,2,trailing_stoploss
2023-05-16,2023-05-18,1334.65,1377.3,3.2,2,profit_target
2023-07-03,2023-07-10,1643.85,1753.0,6.64,7,profit_target
2023-08-11,2023-08-21,1709.45,1628.15,-4.76,10,trailing_stoploss
2023-08-23,2023-08-30,1609.15,1649.05,2.48,7,max_hold
2023-08-31,2023-09-05,1624.1,1692.6,4.22,5,profit_target
2023-09-06,2023-09-11,1674.1,1790.9,6.98,5,profit_target
2023-09-20,2023-09-22,1858.9,1773.75,-4.58,2,trailing_stoploss
2023-09-25,2023-10-03,1800.85,1860.8,3.33,8,profit_target
2023-10-04,2023-10-05,1856.85,2022.25,8.91,1,profit_target
2023-10-11,2023-10-16,2168.0,2073.8,-4.35,5,trailing_stoploss
2023-10-18,2023-10-23,2053.3,1936.85,-5.67,5,trailing_stoploss
2023-10-27,2023-11-03,1949.6,1966.9,0.89,7,max_hold
2023-11-09,2023-11-10,2056.15,2151.9,4.66,1,profit_target
2023-12-04,2023-12-11,2628.15,2573.65,-2.07,7,max_hold
2023-12-14,2023-12-21,2522.15,2528.65,0.26,7,max_hold
2023-12-28,2024-01-02,2634.35,2505.3,-4.9,5,trailing_stoploss
2024-01-15,2024-01-18,2797.9,2647.05,-5.39,3,trailing_stoploss
2024-01-19,2024-01-29,2668.4,2697.4,1.09,10,max_hold
2024-02-02,2024-02-08,2687.05,2535.95,-5.62,6,trailing_stoploss
2024-02-12,2024-02-19,2399.5,2312.3,-3.63,7,max_hold
2024-03-12,2024-03-19,2404.15,2333.7,-2.93,7,trailing_stoploss
2024-03-22,2024-04-02,2410.45,2380.55,-1.24,11,max_hold
2024-06-27,2024-07-03,2395.8,2518.5,5.12,6,profit_target
2024-07-12,2024-07-19,2554.1,2432.35,-4.77,7,trailing_stoploss
2024-07-23,2024-07-30,2382.05,2399.65,0.74,7,max_hold
2024-07-31,2024-08-06,2395.55,2485.85,3.77,6,profit_target
2024-08-07,2024-08-14,2486.15,2402.15,-3.38,7,trailing_stoploss
2024-08-19,2024-08-26,2698.7,2756.8,2.15,7,max_hold
2024-09-06,2024-09-13,2832.6,2813.8,-0.66,7,max_hold
2024-09-16,2024-09-23,2767.55,2721.95,-1.65,7,max_hold
2024-10-04,2024-10-08,3021.5,3141.2,3.96,4,profit_target
2024-10-11,2024-10-18,3090.55,3004.35,-2.79,7,max_hold
2024-10-22,2024-10-28,2844.5,2720.55,-4.36,6,trailing_stoploss
2024-11-04,2024-11-06,2998.15,3284.85,9.56,2,profit_target
2024-11-08,2024-11-11,3240.25,3380.85,4.34,3,profit_target
2024-11-12,2024-11-18,3321.7,3128.85,-5.81,6,trailing_stoploss
2024-11-19,2024-11-26,3224.0,3378.5,4.79,7,profit_target
2024-12-05,2024-12-12,3700.75,3834.85,3.62,7,profit_target
2024-12-13,2024-12-20,3815.55,3608.95,-5.41,7,trailing_stoploss
2024-12-30,2025-01-06,3502.4,3389.0,-3.24,7,max_hold
2025-01-07,2025-01-13,3390.6,3203.25,-5.53,6,trailing_stoploss
2025-01-14,2025-01-21,3188.4,3243.35,1.72,7,max_hold
2025-01-30,2025-02-01,3004.0,3201.3,6.57,2,profit_target
2025-02-24,2025-02-27,3075.35,2950.95,-4.05,3,trailing_stoploss
2025-03-05,2025-03-06,2692.7,2787.45,3.52,1,profit_target
2025-03-11,2025-03-19,2592.2,2584.5,-0.3,8,max_hold
2025-03-25,2025-04-02,2769.6,2745.4,-0.87,8,max_hold
2025-04-03,2025-04-04,2781.35,2643.65,-4.95,1,trailing_stoploss
2025-04-07,2025-04-16,2496.75,2517.2,0.82,9,max_hold
2025-04-23,2025-04-28,2644.2,2543.1,-3.82,5,trailing_stoploss
