Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2022-09-29,2022-10-07,2075.95,2118.45,2.05,8,max_hold,6.076,12.44
2022-10-13,2022-10-20,2086.6,2147.4,2.91,7,max_hold,0.95,2.767
2022-11-15,2022-11-18,2013.65,1948.6,-3.23,3,trailing_stoploss,1.554,-5.021
2022-11-21,2022-11-25,1925.4,1989.55,3.33,4,profit_target,0.415,1.384
2022-12-15,2022-12-22,1962.35,1989.15,1.37,7,max_hold,10.528,14.378
2022-12-23,2022-12-30,1919.45,1972.8,2.78,7,max_hold,12.793,35.558
2023-01-04,2023-01-11,2006.35,2029.0,1.13,7,max_hold,0.245,0.276
2023-01-12,2023-01-19,2014.4,2067.35,2.63,7,max_hold,3.919,10.302
2023-01-23,2023-01-31,2058.8,2072.8,0.68,8,max_hold,17.134,11.651
2023-02-02,2023-02-09,2095.8,2140.15,2.12,7,max_hold,3.778,7.994
2023-02-10,2023-02-16,2153.35,2262.55,5.07,6,profit_target,16.188,82.093
2023-02-17,2023-02-24,2236.55,2197.95,-1.73,7,max_hold,6.774,-11.69
2023-02-27,2023-03-06,2039.85,2138.45,4.83,7,profit_target,15.638,75.59
2023-03-09,2023-03-13,2104.9,1961.75,-6.8,4,trailing_stoploss,10.404,-70.756
2023-03-14,2023-03-20,1896.7,1823.35,-3.87,6,trailing_stoploss,7.546,-29.184
2023-03-21,2023-03-27,1792.3,1724.75,-3.77,6,trailing_stoploss,5.419,-20.425
2023-03-29,2023-03-31,1718.2,1795.75,4.51,2,profit_target,1.74,7.853
2023-04-03,2023-04-12,1797.65,1820.6,1.28,9,max_hold,2.321,2.964
2023-04-21,2023-04-28,1759.95,1814.45,3.1,7,profit_target,6.114,18.933
2023-05-02,2023-05-09,1861.05,1860.2,-0.05,7,max_hold,2.669,-0.122
2023-05-15,2023-05-22,1865.05,1968.8,5.56,7,profit_target,2.753,15.313
2023-07-03,2023-07-10,1903.35,1884.6,-0.99,7,max_hold,8.192,-8.07
2023-07-18,2023-07-20,2123.4,2213.9,4.26,2,profit_target,0.325,1.386
2023-08-03,2023-08-07,2236.65,2330.15,4.18,4,profit_target,4.205,17.579
2023-08-10,2023-08-18,2348.9,2291.05,-2.46,8,max_hold,4.95,-12.191
2023-08-23,2023-08-24,2354.2,2463.9,4.66,1,profit_target,9.022,42.039
2023-08-25,2023-09-01,2392.1,2433.2,1.72,7,max_hold,8.724,14.989
2023-09-04,2023-09-11,2492.4,2476.45,-0.64,7,max_hold,18.313,-11.72
2023-09-12,2023-09-20,2468.2,2482.7,0.59,8,max_hold,1.496,0.879
2023-09-22,2023-09-28,2486.0,2385.8,-4.03,6,trailing_stoploss,4.01,-16.163
2023-10-04,2023-10-11,2427.3,2464.1,1.52,7,max_hold,8.691,13.176
2023-10-18,2023-10-20,2255.2,2169.75,-3.79,2,trailing_stoploss,12.475,-47.267
2023-10-25,2023-11-01,2127.6,2142.15,0.68,7,max_hold,4.698,3.213
2023-11-02,2023-11-09,2187.7,2193.65,0.27,7,max_hold,6.531,1.776
2023-11-12,2023-11-16,2208.85,2365.55,7.09,4,profit_target,1.207,8.563
2023-12-04,2023-12-11,2371.3,2433.2,2.61,7,max_hold,3.464,9.042
2023-12-12,2023-12-14,2433.1,2601.0,6.9,2,profit_target,8.448,58.297
