Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-10-07,2022-10-12,1744.6,1798.7,3.1,5,profit_target
2022-11-24,2022-11-28,1944.15,2013.95,3.59,4,profit_target
2022-12-15,2022-12-20,2051.75,1956.1,-4.66,5,trailing_stoploss
2022-12-23,2022-12-30,1917.2,1935.45,0.95,7,max_hold
2023-01-06,2023-01-09,1925.95,1997.4,3.71,3,profit_target
2023-01-10,2023-01-17,1981.55,1988.35,0.34,7,max_hold
2023-01-23,2023-01-31,2296.55,2343.8,2.06,8,max_hold
2023-02-08,2023-02-15,2416.9,2415.45,-0.06,7,max_hold
2023-02-20,2023-02-27,2531.0,2410.75,-4.75,7,trailing_stoploss
2023-02-28,2023-03-08,2396.55,2445.8,2.06,8,max_hold
2023-03-09,2023-03-13,2408.8,2311.0,-4.06,4,trailing_stoploss
2023-03-14,2023-03-21,2266.55,2238.3,-1.25,7,max_hold
2023-03-22,2023-03-29,2246.3,2270.9,1.1,7,max_hold
2023-05-16,2023-05-19,2359.0,2444.1,3.61,3,profit_target
2023-08-11,2023-08-21,2446.3,2505.35,2.41,10,max_hold
2023-08-23,2023-08-30,2502.55,2592.95,3.61,7,profit_target
2023-08-31,2023-09-01,2685.35,2771.65,3.21,1,profit_target
2023-09-04,2023-09-06,2891.3,2978.7,3.02,2,profit_target
2023-09-20,2023-09-27,2893.3,2919.4,0.9,7,max_hold
2023-10-04,2023-10-11,2846.3,2880.45,1.2,7,max_hold
2023-10-18,2023-10-20,2857.9,2953.65,3.35,2,profit_target
2023-10-25,2023-10-27,2949.3,3041.9,3.14,2,profit_target
2023-10-30,2023-11-03,3033.95,3143.05,3.6,4,profit_target
2023-12-14,2023-12-15,3429.65,3612.4,5.33,1,profit_target
2023-12-20,2023-12-22,3498.3,3715.7,6.21,2,profit_target
2023-12-28,2024-01-04,3759.5,3632.6,-3.38,7,max_hold
2024-01-15,2024-01-20,3833.4,3960.8,3.32,5,profit_target
2024-01-23,2024-01-29,4127.2,4318.8,4.64,6,profit_target
2024-02-02,2024-02-09,4251.3,4319.4,1.6,7,max_hold
2024-02-12,2024-02-19,4352.4,4368.15,0.36,7,max_hold
2024-03-14,2024-03-19,4154.3,3989.7,-3.96,5,trailing_stoploss
2024-03-22,2024-04-02,3985.7,3970.25,-0.39,11,max_hold
2024-06-27,2024-06-28,4031.6,4241.45,5.21,1,profit_target
2024-07-02,2024-07-04,4501.75,4750.9,5.53,2,profit_target
2024-07-08,2024-07-12,4586.3,4808.5,4.84,4,profit_target
2024-07-15,2024-07-19,4794.5,4583.45,-4.4,4,trailing_stoploss
2024-07-23,2024-07-30,4810.15,4776.6,-0.7,7,max_hold
2024-07-31,2024-08-02,4832.3,4636.35,-4.06,2,trailing_stoploss
2024-08-05,2024-08-07,4536.6,4676.15,3.08,2,profit_target
2024-08-09,2024-08-16,4699.05,4857.15,3.36,7,profit_target
2024-08-19,2024-08-26,4874.5,4993.4,2.44,7,max_hold
2024-09-06,2024-09-13,5189.95,5359.9,3.27,7,profit_target
2024-09-16,2024-09-23,5301.0,5329.5,0.54,7,max_hold
2024-10-04,2024-10-08,5141.3,5308.65,3.26,4,profit_target
2024-10-11,2024-10-18,5469.55,5506.15,0.67,7,max_hold
2024-10-22,2024-10-23,5158.2,5718.75,10.87,1,profit_target
2024-10-24,2024-10-31,5691.2,5372.5,-5.6,7,trailing_stoploss
2024-11-04,2024-11-06,5358.5,5717.65,6.7,2,profit_target
2024-11-08,2024-11-18,5668.7,5646.1,-0.4,10,max_hold
2024-11-19,2024-11-25,5710.3,5917.7,3.63,6,profit_target
2024-11-26,2024-12-03,5968.95,6041.3,1.21,7,max_hold
2024-12-10,2024-12-17,6345.35,6549.35,3.21,7,profit_target
2024-12-30,2025-01-06,6637.7,6311.15,-4.92,7,trailing_stoploss
2025-01-07,2025-01-13,6334.3,6003.4,-5.22,6,trailing_stoploss
2025-01-14,2025-01-15,5880.1,6111.25,3.93,1,profit_target
2025-01-16,2025-01-22,6071.6,5683.15,-6.4,6,trailing_stoploss
2025-01-30,2025-02-05,6056.7,6189.45,2.19,6,max_hold
2025-02-24,2025-02-28,5639.8,5303.9,-5.96,4,trailing_stoploss
2025-03-05,2025-03-10,5391.1,5167.0,-4.16,5,trailing_stoploss
2025-03-11,2025-03-19,5239.95,5280.6,0.78,8,max_hold
2025-03-25,2025-04-01,5558.3,5211.55,-6.24,7,trailing_stoploss
2025-04-02,2025-04-03,5317.5,4793.35,-9.86,1,trailing_stoploss
2025-04-04,2025-04-09,4609.95,4402.75,-4.49,5,trailing_stoploss
2025-04-23,2025-04-29,5163.5,5404.0,4.66,6,profit_target
