Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-09-29,2022-09-30,248.4,257.8,3.78,1,profit_target
2022-11-21,2022-11-25,261.3,276.5,5.82,4,profit_target
2022-12-15,2022-12-22,270.4,270.55,0.06,7,max_hold
2022-12-23,2022-12-26,267.5,276.45,3.35,3,profit_target
2022-12-28,2023-01-04,284.7,287.65,1.04,7,max_hold
2023-01-05,2023-01-12,292.35,287.2,-1.76,7,max_hold
2023-01-31,2023-02-02,303.5,312.9,3.1,2,profit_target
2023-02-03,2023-02-08,308.85,320.75,3.85,5,profit_target
2023-02-24,2023-03-01,353.0,385.5,9.21,5,profit_target
2023-03-14,2023-03-17,417.3,399.5,-4.27,3,trailing_stoploss
2023-03-20,2023-03-27,402.75,387.75,-3.72,7,trailing_stoploss
2023-04-17,2023-04-19,399.9,412.7,3.2,2,profit_target
2023-04-21,2023-04-28,412.7,427.4,3.56,7,profit_target
2023-05-02,2023-05-09,428.75,423.25,-1.28,7,max_hold
2023-05-16,2023-05-23,477.1,462.9,-2.98,7,max_hold
2023-07-04,2023-07-11,497.4,478.1,-3.88,7,trailing_stoploss
2023-07-14,2023-07-21,526.8,523.5,-0.63,7,max_hold
2023-07-24,2023-07-31,521.1,528.35,1.39,7,max_hold
2023-08-03,2023-08-10,519.2,534.0,2.85,7,max_hold
2023-08-16,2023-08-23,514.65,510.45,-0.82,7,max_hold
2023-08-24,2023-08-31,515.3,522.75,1.45,7,max_hold
2023-09-18,2023-09-26,539.3,529.5,-1.82,8,max_hold
2023-09-27,2023-10-03,532.05,520.6,-2.15,6,trailing_stoploss
2023-10-12,2023-10-19,543.6,552.4,1.62,7,max_hold
2023-10-20,2023-10-25,555.8,524.5,-5.63,5,trailing_stoploss
2023-10-26,2023-10-27,567.6,588.75,3.73,1,profit_target
2023-12-20,2023-12-28,752.15,727.35,-3.3,8,max_hold
2023-12-29,2024-01-02,742.75,709.65,-4.46,4,trailing_stoploss
2024-01-16,2024-01-23,765.0,739.55,-3.33,7,max_hold
2024-02-06,2024-02-12,823.25,783.8,-4.79,6,trailing_stoploss
2024-03-27,2024-04-04,743.2,749.7,0.87,8,max_hold
2024-06-20,2024-06-25,602.6,576.45,-4.34,5,trailing_stoploss
2024-06-26,2024-07-01,585.45,621.5,6.16,5,profit_target
2024-07-02,2024-07-09,630.2,627.3,-0.46,7,max_hold
2024-08-05,2024-08-06,626.6,649.25,3.61,1,profit_target
2024-08-16,2024-08-23,615.65,618.4,0.45,7,max_hold
2024-09-16,2024-09-18,680.35,652.85,-4.04,2,trailing_stoploss
2024-09-19,2024-09-26,644.75,631.7,-2.02,7,max_hold
2024-10-21,2024-10-25,608.6,583.0,-4.21,4,trailing_stoploss
2024-10-28,2024-11-01,597.5,615.5,3.01,4,profit_target
2024-11-04,2024-11-06,609.95,631.75,3.57,2,profit_target
2024-11-12,2024-11-14,585.1,559.1,-4.44,2,trailing_stoploss
2024-11-18,2024-11-26,553.1,597.95,8.11,8,profit_target
2024-12-05,2024-12-12,670.05,675.2,0.77,7,max_hold
2024-12-13,2024-12-20,675.05,635.7,-5.83,7,trailing_stoploss
2025-01-03,2025-01-10,628.65,609.65,-3.02,7,max_hold
2025-01-15,2025-01-20,589.45,560.2,-4.96,5,trailing_stoploss
2025-01-21,2025-01-23,560.95,591.1,5.37,2,profit_target
2025-01-28,2025-01-29,511.25,532.85,4.22,1,profit_target
2025-01-30,2025-02-05,522.15,549.95,5.32,6,profit_target
2025-02-24,2025-02-27,406.0,382.55,-5.78,3,trailing_stoploss
2025-02-28,2025-03-04,361.0,375.0,3.88,4,profit_target
2025-03-05,2025-03-10,387.0,375.05,-3.09,5,trailing_stoploss
2025-03-12,2025-03-20,350.85,364.65,3.93,8,profit_target
2025-04-01,2025-04-04,348.6,321.45,-7.79,3,trailing_stoploss
2025-04-08,2025-04-11,305.5,315.55,3.29,3,profit_target
2025-04-24,2025-04-25,355.5,337.9,-4.95,1,trailing_stoploss
2025-04-29,2025-04-30,376.0,421.55,12.11,1,profit_target
