Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-10-07,2022-10-14,8550.05,8465.55,-0.99,7,max_hold
2022-12-15,2022-12-21,6550.35,6202.6,-5.31,6,trailing_stoploss
2022-12-23,2022-12-26,5837.6,6252.65,7.11,3,profit_target
2022-12-28,2023-01-04,6332.05,6369.55,0.59,7,max_hold
2023-01-06,2023-01-13,6193.9,6242.25,0.78,7,max_hold
2023-01-23,2023-01-31,6655.45,6632.7,-0.34,8,max_hold
2023-02-08,2023-02-15,6697.85,6649.95,-0.72,7,max_hold
2023-02-20,2023-02-27,6666.9,6358.7,-4.62,7,trailing_stoploss
2023-02-28,2023-03-08,6129.25,6340.2,3.44,8,profit_target
2023-03-09,2023-03-16,6284.55,6115.1,-2.7,7,max_hold
2023-05-16,2023-05-23,7115.7,7023.05,-1.3,7,max_hold
2023-08-11,2023-08-21,7113.75,7016.8,-1.36,10,max_hold
2023-08-23,2023-08-28,7106.75,7374.15,3.76,5,profit_target
2023-08-30,2023-09-06,7402.05,7356.2,-0.62,7,max_hold
2023-09-20,2023-09-27,7301.9,7301.7,-0.0,7,max_hold
2023-10-04,2023-10-11,7281.9,7315.1,0.46,7,max_hold
2023-10-18,2023-10-23,7608.9,7336.45,-3.58,5,trailing_stoploss
2023-10-25,2023-11-01,7545.25,7483.4,-0.82,7,max_hold
2023-12-14,2023-12-20,8985.65,8608.35,-4.2,6,trailing_stoploss
2023-12-21,2023-12-29,8770.45,8753.45,-0.19,8,max_hold
2024-01-15,2024-01-18,8716.65,8310.7,-4.66,3,trailing_stoploss
2024-01-19,2024-01-24,8307.3,7768.45,-6.49,5,trailing_stoploss
2024-02-02,2024-02-09,7641.0,7629.35,-0.15,7,max_hold
2024-02-12,2024-02-19,7498.6,7708.65,2.8,7,max_hold
2024-03-14,2024-03-21,7730.6,7704.75,-0.33,7,max_hold
2024-03-22,2024-04-02,7665.0,7701.75,0.48,11,max_hold
2024-06-24,2024-07-01,7250.7,7072.95,-2.45,7,max_hold
2024-07-02,2024-07-09,7057.75,7016.8,-0.58,7,max_hold
2024-07-12,2024-07-22,7065.55,6964.25,-1.43,10,max_hold
2024-07-23,2024-07-30,6994.15,6925.6,-0.98,7,max_hold
2024-07-31,2024-08-06,6984.5,6696.0,-4.13,6,trailing_stoploss
2024-08-07,2024-08-14,6844.45,6827.75,-0.24,7,max_hold
2024-08-19,2024-08-26,6927.5,7683.05,10.91,7,profit_target
2024-09-06,2024-09-09,7589.45,7839.05,3.29,3,profit_target
2024-09-16,2024-09-23,7688.75,7833.0,1.88,7,max_hold
2024-10-04,2024-10-11,7576.1,7675.15,1.31,7,max_hold
2024-10-14,2024-10-21,7573.5,7409.2,-2.17,7,max_hold
2024-10-22,2024-10-29,7126.5,7038.95,-1.23,7,max_hold
2024-11-04,2024-11-08,7035.1,6940.8,-1.34,4,trailing_stoploss
2024-11-12,2024-11-21,6635.5,6496.1,-2.1,9,max_hold
2024-11-22,2024-11-25,6586.45,6791.4,3.11,3,profit_target
2024-11-26,2024-12-03,6713.75,7098.55,5.73,7,profit_target
2024-12-05,2024-12-12,7367.75,7319.7,-0.65,7,max_hold
2024-12-30,2025-01-03,6925.55,6647.55,-4.01,4,trailing_stoploss
2025-01-07,2025-01-10,6542.35,6000.6,-8.28,3,trailing_stoploss
2025-01-14,2025-01-21,6084.8,6153.95,1.14,7,max_hold
2025-01-30,2025-01-31,6135.7,6336.0,3.26,1,profit_target
2025-02-24,2025-02-27,5851.8,5563.15,-4.93,3,trailing_stoploss
2025-03-05,2025-03-12,5553.4,5303.85,-4.49,7,trailing_stoploss
2025-03-25,2025-03-28,5496.95,5214.6,-5.14,3,trailing_stoploss
2025-04-02,2025-04-07,5229.95,4808.3,-8.06,5,trailing_stoploss
2025-04-23,2025-04-24,5664.5,5918.0,4.48,1,profit_target
2025-04-25,2025-05-02,5612.5,5821.0,3.71,7,profit_target
