Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason
2022-09-29,2022-10-04,210.0,221.65,5.55,5,profit_target
2022-11-21,2022-11-28,213.05,220.6,3.54,7,profit_target
2022-12-15,2022-12-22,221.0,212.1,-4.03,7,trailing_stoploss
2022-12-23,2022-12-26,202.9,211.25,4.12,3,profit_target
2022-12-28,2023-01-04,216.25,213.3,-1.36,7,max_hold
2023-01-05,2023-01-12,210.05,212.4,1.12,7,max_hold
2023-01-31,2023-02-07,230.3,245.3,6.51,7,profit_target
2023-02-24,2023-02-27,291.6,279.5,-4.15,3,trailing_stoploss
2023-02-28,2023-03-02,290.3,276.55,-4.74,2,trailing_stoploss
2023-03-14,2023-03-17,267.15,277.5,3.87,3,profit_target
2023-03-20,2023-03-27,270.0,262.45,-2.8,7,max_hold
2023-04-17,2023-04-24,268.1,272.1,1.49,7,max_hold
2023-04-28,2023-05-03,278.25,288.2,3.58,5,profit_target
2023-05-16,2023-05-23,351.65,355.45,1.08,7,max_hold
2023-07-04,2023-07-11,383.4,387.9,1.17,7,max_hold
2023-07-14,2023-07-18,426.55,449.95,5.49,4,profit_target
2023-07-19,2023-07-21,457.65,485.25,6.03,2,profit_target
2023-07-24,2023-07-25,469.05,485.2,3.44,1,profit_target
2023-08-03,2023-08-10,479.8,514.1,7.15,7,profit_target
2023-08-16,2023-08-23,513.3,514.3,0.19,7,max_hold
2023-08-24,2023-08-31,516.45,526.95,2.03,7,max_hold
2023-09-11,2023-09-12,550.0,513.2,-6.69,1,trailing_stoploss
2023-09-18,2023-09-25,514.1,530.3,3.15,7,profit_target
2023-09-27,2023-10-05,524.9,536.25,2.16,8,max_hold
2023-10-12,2023-10-18,554.25,517.65,-6.6,6,trailing_stoploss
2023-10-20,2023-10-23,511.45,480.3,-6.09,3,trailing_stoploss
2023-10-25,2023-10-31,475.3,490.05,3.1,6,profit_target
2023-12-20,2023-12-21,573.7,624.9,8.92,1,profit_target
2023-12-22,2024-01-01,620.05,607.2,-2.07,10,max_hold
2024-01-16,2024-01-23,572.95,544.2,-5.02,7,trailing_stoploss
2024-02-06,2024-02-09,592.15,564.7,-4.64,3,trailing_stoploss
2024-03-27,2024-04-04,606.8,627.25,3.37,8,profit_target
2024-06-20,2024-06-21,720.9,752.05,4.32,1,profit_target
2024-06-24,2024-07-01,753.5,754.95,0.19,7,max_hold
2024-07-02,2024-07-09,751.4,726.35,-3.33,7,max_hold
2024-08-05,2024-08-08,727.75,753.05,3.48,3,profit_target
2024-08-16,2024-08-23,797.6,775.8,-2.73,7,max_hold
2024-09-16,2024-09-19,773.65,724.6,-6.34,3,trailing_stoploss
2024-10-21,2024-10-28,682.1,686.95,0.71,7,max_hold
2024-10-29,2024-11-05,699.2,705.15,0.85,7,max_hold
2024-11-12,2024-11-21,725.8,713.7,-1.67,9,max_hold
2024-11-22,2024-11-26,725.8,747.85,3.04,4,profit_target
2024-12-05,2024-12-10,773.55,803.1,3.82,5,profit_target
2024-12-13,2024-12-19,801.2,778.1,-2.88,6,trailing_stoploss
2025-01-03,2025-01-10,794.1,779.85,-1.79,7,max_hold
2025-01-15,2025-01-22,770.05,750.05,-2.6,7,max_hold
2025-01-28,2025-01-29,786.25,850.5,8.17,1,profit_target
2025-01-30,2025-02-01,860.05,967.75,12.52,2,profit_target
2025-02-24,2025-02-25,761.85,804.05,5.54,1,profit_target
2025-02-27,2025-02-28,797.7,738.45,-7.43,1,trailing_stoploss
2025-03-03,2025-03-06,702.9,751.6,6.93,3,profit_target
2025-03-12,2025-03-20,666.2,676.3,1.52,8,max_hold
2025-04-01,2025-04-02,691.9,714.05,3.2,1,profit_target
2025-04-03,2025-04-04,682.45,654.7,-4.07,1,trailing_stoploss
2025-04-08,2025-04-17,653.05,653.1,0.01,9,max_hold
2025-04-24,2025-04-29,703.45,749.0,6.48,5,profit_target
